,0
0,A000020
1,A000040
2,A000050
3,A000060
4,A000070
5,A000075
6,A000080
7,A000087
8,A000100
9,A000105
10,A000120
11,A000140
12,A000145
13,A000150
14,A000155
15,A000157
16,A000180
17,A000210
18,A000215
19,A000220
20,A000225
21,A000227
22,A000230
23,A000240
24,A000270
25,A000300
26,A000320
27,A000325
28,A000370
29,A000390
30,A000400
31,A000430
32,A000480
33,A000490
34,A000500
35,A000520
36,A000540
37,A000545
38,A000547
39,A000590
40,A000640
41,A000650
42,A000660
43,A000670
44,A000680
45,A000700
46,A000720
47,A000725
48,A000760
49,A000810
50,A000815
51,A000850
52,A000860
53,A000880
54,A000885
55,A00088K
56,A000890
57,A000910
58,A000950
59,A000970
60,A000990
61,A000995
62,A001020
63,A001040
64,A001045
65,A00104K
66,A001060
67,A001065
68,A001067
69,A001070
70,A001080
71,A001120
72,A001130
73,A001140
74,A001200
75,A001210
76,A001230
77,A001250
78,A001260
79,A001270
80,A001275
81,A001290
82,A001340
83,A001360
84,A001380
85,A001390
86,A001420
87,A001430
88,A001440
89,A001450
90,A001460
91,A001465
92,A001470
93,A001500
94,A001510
95,A001515
96,A001520
97,A001525
98,A001527
99,A001529
100,A001530
101,A001550
102,A001560
103,A001570
104,A001620
105,A001630
106,A001680
107,A001685
108,A001720
109,A001725
110,A001740
111,A001745
112,A001750
113,A001755
114,A001770
115,A001780
116,A001790
117,A001795
118,A001800
119,A001820
120,A001880
121,A001940
122,A002020
123,A002025
124,A002030
125,A002070
126,A002100
127,A002140
128,A002150
129,A002170
130,A002200
131,A002210
132,A002220
133,A002240
134,A002270
135,A002300
136,A002310
137,A002320
138,A002350
139,A002355
140,A002360
141,A002380
142,A002390
143,A002410
144,A002420
145,A002450
146,A002460
147,A002600
148,A002620
149,A002630
150,A002690
151,A002700
152,A002710
153,A002720
154,A002760
155,A002780
156,A002785
157,A002787
158,A002790
159,A002795
160,A00279K
161,A002810
162,A002820
163,A002840
164,A002870
165,A002880
166,A002900
167,A002920
168,A002960
169,A002990
170,A002995
171,A003000
172,A003010
173,A003030
174,A003060
175,A003070
176,A003075
177,A003080
178,A003090
179,A003120
180,A003160
181,A003200
182,A003220
183,A003230
184,A003240
185,A003280
186,A003300
187,A003350
188,A003410
189,A003415
190,A003460
191,A003465
192,A003470
193,A003475
194,A003480
195,A003490
196,A003495
197,A003520
198,A003530
199,A003535
200,A003540
201,A003545
202,A003547
203,A003550
204,A003555
205,A003560
206,A003570
207,A003580
208,A003610
209,A003620
210,A003650
211,A003670
212,A003680
213,A003690
214,A003720
215,A003780
216,A003830
217,A003850
218,A003920
219,A003925
220,A003960
221,A004000
222,A004020
223,A004060
224,A004080
225,A004090
226,A004100
227,A004105
228,A004140
229,A004150
230,A004170
231,A004200
232,A004250
233,A004255
234,A004270
235,A004310
236,A004360
237,A004365
238,A004370
239,A004380
240,A004410
241,A004415
242,A004430
243,A004440
244,A004450
245,A004490
246,A004540
247,A004545
248,A004560
249,A004565
250,A004690
251,A004700
252,A004710
253,A004720
254,A004770
255,A004800
256,A004830
257,A004835
258,A004840
259,A004870
260,A004890
261,A004910
262,A004920
263,A004960
264,A004970
265,A004980
266,A004985
267,A004990
268,A00499K
269,A005010
270,A005030
271,A005070
272,A005090
273,A005110
274,A005180
275,A005190
276,A005250
277,A005257
278,A005300
